image_id_1,object_id_1,image_id_2,object_id_2,distance,occlusion,raw_distance,raw_occlusion
0001f06463aef4a3,0,0001f06463aef4a3,1,1,1,1,1
0004be5f2f0f1c66,0,0004be5f2f0f1c66,1,2,0,"2,2,2","0,0,0"
0005ea10e0e14db1,0,0005ea10e0e14db1,1,1,0,1,0
00070d8a5eeb4235,0,00070d8a5eeb4235,1,1,0,1,0
0009ffd4f02fadd0,0,0009ffd4f02fadd0,1,0,0,0,0
000a0c9bcf87532e,0,000a0c9bcf87532e,1,2,0,2,0
000aa0232503aafc,0,000aa0232503aafc,1,2,0,"2,2,2","0,0,0"
000b8d80f7386698,0,000b8d80f7386698,1,-1,0,"2,3,1","0,0,0"
000de2d23a112361,0,000de2d23a112361,1,1,0,1,0
00152da819c824d4,0,00152da819c824d4,1,1,0,1,0
00182181e687981d,0,00182181e687981d,1,3,0,3,0
00182e06281874be,0,00182e06281874be,1,1,0,"2,1,1","0,0,0"
0018a6bad69af631,0,0018a6bad69af631,1,2,2,2,2
001a63f2bff24c20,0,001a63f2bff24c20,1,3,1,"3,3,1","1,0,1"
001d5125f56451d6,0,001d5125f56451d6,1,1,0,1,0
001f9cae0dee88b9,0,001f9cae0dee88b9,1,2,0,"2,2,2","0,0,0"
001fdb66099bff5b,0,001fdb66099bff5b,1,2,0,2,0
0022449a9546b5c1,0,0022449a9546b5c1,1,1,0,"1,1,1","0,0,0"
0022ef286ceb095f,0,0022ef286ceb095f,1,1,0,1,0
0028d8db5f3295dd,0,0028d8db5f3295dd,1,0,0,0,0
002901902b4f8fb6,0,002901902b4f8fb6,1,1,0,1,0
0029d6713add6e62,0,0029d6713add6e62,1,1,1,1,1
002d1b6fd06ba116,0,002d1b6fd06ba116,1,1,0,"1,1,1","0,0,0"
002d39afecfd8113,0,002d39afecfd8113,1,0,0,0,0
002dc3132ae9aa71,0,002dc3132ae9aa71,1,2,2,2,2
002dcd8640e53bb8,0,002dcd8640e53bb8,1,1,0,1,0
00311d28415aa937,0,00311d28415aa937,1,2,0,2,0
003757cfa205148b,0,003757cfa205148b,1,1,0,1,0
003b80fc0494a9f4,0,003b80fc0494a9f4,1,2,0,2,0
003c6961f6336c53,0,003c6961f6336c53,1,2,0,"2,2,3","0,0,0"
003ec1e9e97a7053,0,003ec1e9e97a7053,1,2,2,2,2
004191de97995e99,0,004191de97995e99,1,2,0,2,0
00495c08e6ef8da9,0,00495c08e6ef8da9,1,3,0,"3,1,3","0,0,0"
004dec94c5de631f,0,004dec94c5de631f,1,0,0,0,0
004e97b29e423be6,0,004e97b29e423be6,1,2,0,"2,3,2","0,0,0"
004f24ba0f98b1a0,0,004f24ba0f98b1a0,1,1,0,1,0
004f6f1618527205,0,004f6f1618527205,1,1,1,1,1
0053f472bc37e550,0,0053f472bc37e550,1,1,0,1,0
00569f93fee9ef20,0,00569f93fee9ef20,1,0,0,0,0
005ba76304b04b28,0,005ba76304b04b28,1,1,2,"1,1,1","2,2,0"
005e097401d86c4c,0,005e097401d86c4c,1,2,0,2,0
006e452efd8b8271,0,006e452efd8b8271,1,1,1,1,1
006e910bea677138,0,006e910bea677138,1,2,0,2,0
00712e4c572bc325,0,00712e4c572bc325,1,2,0,2,0
007191c09b7f8548,0,007191c09b7f8548,1,3,0,"3,3,1","0,0,0"
007312875161ca61,0,007312875161ca61,1,3,2,"3,2,3","0,2,2"
00760c94a78ce806,0,00760c94a78ce806,1,1,0,1,0
0076dce7e8685a71,0,0076dce7e8685a71,1,0,0,0,0
0077a417d33f0ddb,0,0077a417d33f0ddb,1,2,2,2,2
007994f7c819381e,0,007994f7c819381e,1,2,0,2,0
007a2a20d20b99c4,0,007a2a20d20b99c4,1,2,0,"3,2,2","0,0,0"
007a3c84962984f8,0,007a3c84962984f8,1,0,0,0,0
007d30f0192f913a,0,007d30f0192f913a,1,2,0,"2,2,2","0,0,0"
00805e9889dcd944,0,00805e9889dcd944,1,3,0,3,0
0088e11ce1071a1e,0,0088e11ce1071a1e,1,2,2,2,2
008cbce3d46712fa,0,008cbce3d46712fa,1,2,0,2,0
008eb158a2eea53e,0,008eb158a2eea53e,1,1,0,1,0
0090bdd9d012cb8c,0,0090bdd9d012cb8c,1,1,0,1,0
009ab65fbcbd7add,0,009ab65fbcbd7add,1,2,0,2,0
009c18837403aa70,0,009c18837403aa70,1,2,2,2,2
009d661e06a26b9e,0,009d661e06a26b9e,1,1,0,1,0
009fa98953c23664,0,009fa98953c23664,1,2,0,2,0
00a3cd901721e453,0,00a3cd901721e453,1,0,0,"0,0,0","0,0,0"
00a5b135f1c45885,0,00a5b135f1c45885,1,1,1,1,1
00a5e66a7d17a02b,0,00a5e66a7d17a02b,1,0,0,0,0
00a98991ebdb4930,0,00a98991ebdb4930,1,3,0,3,0
00a9e8a54a8739a0,0,00a9e8a54a8739a0,1,3,0,3,0
00ae7b88ce898130,0,00ae7b88ce898130,1,1,0,1,0
00b050db61570c1f,0,00b050db61570c1f,1,1,0,1,0
00b6b1e9e7fe16f5,0,00b6b1e9e7fe16f5,1,2,1,2,1
00b7fb592b11ceb1,0,00b7fb592b11ceb1,1,2,0,2,0
00c2d468bd5d1c36,0,00c2d468bd5d1c36,1,1,0,1,0
00cc72aec06e451b,0,00cc72aec06e451b,1,1,0,1,0
00d4da7256eb8ec5,0,00d4da7256eb8ec5,1,2,2,2,2
00d553a197fa79a2,0,00d553a197fa79a2,1,2,0,2,0
00d7b4914b61ca2f,0,00d7b4914b61ca2f,1,1,0,1,0
00dc47b29c30b9bf,0,00dc47b29c30b9bf,1,1,0,1,0
00e22367d9850c8a,0,00e22367d9850c8a,1,2,0,2,0
00e38e4fca4d4800,0,00e38e4fca4d4800,1,1,1,"1,1,1","1,1,1"
00e67752ff3b97f6,0,00e67752ff3b97f6,1,0,0,0,0
00e72b17a0d7cadf,0,00e72b17a0d7cadf,1,0,0,0,0
00e7f1a520cafb36,0,00e7f1a520cafb36,1,2,2,2,2
00ea602a9f7eccc2,0,00ea602a9f7eccc2,1,1,0,1,0
00ea6964a1a01fae,0,00ea6964a1a01fae,1,2,0,2,0
00f7a28203ccfda4,0,00f7a28203ccfda4,1,2,0,2,0
00fc6771ee6a758d,0,00fc6771ee6a758d,1,2,0,2,0
00fe9906e43d175f,0,00fe9906e43d175f,1,1,0,1,0
00febb4220940162,0,00febb4220940162,1,1,0,1,0
01062638666fc36a,0,01062638666fc36a,1,2,0,"2,2,2","0,0,0"
010815a634ad0e39,0,010815a634ad0e39,1,2,2,2,2
0108f97ca12aaf61,0,0108f97ca12aaf61,1,1,0,1,0
010abf7ee37c002b,0,010abf7ee37c002b,1,2,0,2,0
010ef5d65e9f5d6c,0,010ef5d65e9f5d6c,1,2,0,2,0
0115a11822303c20,0,0115a11822303c20,1,2,0,2,0
01168d6ebacdb880,0,01168d6ebacdb880,1,1,0,"1,1","0,0"
011ac6f25144f26c,0,011ac6f25144f26c,1,2,0,2,0
011fc701db0f980e,0,011fc701db0f980e,1,2,0,2,0
01206d16363b3042,0,01206d16363b3042,1,2,0,2,0
01255d64e416bb88,0,01255d64e416bb88,1,2,0,2,0
0128f08438f7d6f6,0,0128f08438f7d6f6,1,0,0,0,0
012aff6b27dfb64a,0,012aff6b27dfb64a,1,1,1,1,1
012fbcc5db3bfb41,0,012fbcc5db3bfb41,1,1,1,"0,1,1","0,1,1"
0136558f5c9396fc,0,0136558f5c9396fc,1,1,0,"1,3,1","0,0,0"
0138ac56925d6c17,0,0138ac56925d6c17,1,3,0,3,0
01404c0f6d3368d1,0,01404c0f6d3368d1,1,0,0,"0,0,0","0,0,0"
014070fcb3163e4b,0,014070fcb3163e4b,1,2,0,2,0
0144702f16ed51c6,0,0144702f16ed51c6,1,2,0,2,0
014ce3f81cf6b871,0,014ce3f81cf6b871,1,2,0,2,0
014e7aa38eddfd7d,0,014e7aa38eddfd7d,1,1,0,"1,1,1","0,0,0"
0150bc8c6233dc73,0,0150bc8c6233dc73,1,2,0,2,0
0152e8b995948fd8,0,0152e8b995948fd8,1,1,0,1,0
01531d0761729f92,0,01531d0761729f92,1,2,0,"2,2,2","2,0,0"
0159ab00dd0e9eb5,0,0159ab00dd0e9eb5,1,1,0,"1,3,1","0,0,0"
015b6db3f336896c,0,015b6db3f336896c,1,2,0,2,0
015e02a377d65a2f,0,015e02a377d65a2f,1,1,0,1,0
015e0aca3cfad145,0,015e0aca3cfad145,1,2,0,2,0
01661121cfeb0947,0,01661121cfeb0947,1,1,2,1,2
0174ac5be029be70,0,0174ac5be029be70,1,1,0,1,0
01766ae1fee2cfd2,0,01766ae1fee2cfd2,1,1,0,1,0
0178bda52c54d226,0,0178bda52c54d226,1,1,0,1,0
017da1bdf12bf8f6,0,017da1bdf12bf8f6,1,1,0,1,0
017f4b2ee04c62b0,0,017f4b2ee04c62b0,1,1,0,1,0
0182483055752a67,0,0182483055752a67,1,3,0,"3,2,3","0,3,0"
0182bc5fadd712f2,0,0182bc5fadd712f2,1,3,2,3,2
018611dc4842ccaa,0,018611dc4842ccaa,1,2,0,2,0
0189de61d70fabfe,0,0189de61d70fabfe,1,1,0,1,0
018dea1fc40a7910,0,018dea1fc40a7910,1,2,0,2,0
0192c45b18103e6a,0,0192c45b18103e6a,1,3,0,3,0
0197ec3fa849fe40,0,0197ec3fa849fe40,1,1,0,1,0
019c9cdce96537df,0,019c9cdce96537df,1,2,0,2,0
01a865ae4297adb0,0,01a865ae4297adb0,1,2,0,2,0
01aad32ccfb563aa,0,01aad32ccfb563aa,1,2,0,2,0
01ababc0c97bda0a,0,01ababc0c97bda0a,1,1,2,"1,1,1","2,2,2"
01ac2e2d27d2ef4d,0,01ac2e2d27d2ef4d,1,2,3,2,3
01bde80d70e5dce2,0,01bde80d70e5dce2,1,2,0,2,0
01c2091bdd5b8bd0,0,01c2091bdd5b8bd0,1,0,0,0,0
01cd7a7895feac64,0,01cd7a7895feac64,1,0,0,0,0
01d2e38c0ebc6a3c,0,01d2e38c0ebc6a3c,1,1,0,1,0
01d5225ddd738b47,0,01d5225ddd738b47,1,2,2,2,2
